单词                  |音标                  |词性&词义               
lay                   |/leɪ/                 |< other nominal > - lie的过去式 ;< n. > - 地形；位置；叙事短诗；交媾 ;< adj. > - 外行的；世俗的 ;< v. > - 放置；躺下；打赌；设计；击倒；产卵；使平静；压平 ;
layer                 |/ˈler/                |< vt. > - 将某物堆积成层 ;< vi. > - 分层 ;< n. > - 层 ;
laying-out            |/'leɪɪŋ'aʊt/          |< other nominal > - 划线" ;
layout                |/ˈleɪaʊt/             |< n. > - 安排；布局；设计 ;
lazy                  |/ˈleɪzi/              |< adj. > - 懒惰的；懒散的 ;
lead                  |/liːd/                |< n. > - 领头位置；主角；榜样；引言；铅 ;< v. > - 引导；领先；带领；过  ;
leader                |/ˈliːdər/             |< n. > - 领袖；领导者；指挥者；领先的人 ;
leadership            |/ˈliːdərʃɪp/          |< n. > - 领导；领导才干 ;
leading               |/ˈliːdɪŋ/             |< adj. > - 领导的；指导的；主要的；在前的 ;
leaf                  |/liːf/                |< v. > - 长叶；翻页 ;< n. > - 页；叶；金属薄片 ;
league                |/liːɡ/                |< v. > - （使）结盟 ;< n. > - 种类；社团；联盟；同盟；里格（长度单位，约为3英里或3海里） ;
leak                  |/liːk/                |< n. > - 漏洞；泄露 ;< v. > - 渗；漏；泄露 ;
lean                  |/liːn/                |< n. > - 瘦肉；倾斜，倾向 ;< adj. > - 瘦的；贫乏的；无脂肪的 ;< v. > - 倾斜；倾向；依靠；倚；屈身 ;
leap                  |/liːp/                |< n. > - 跳跃；跃 ;< v. > - 跳跃；跃过；跃 ;
learn                 |/lɜːrn/               |< v. > - 学会；学习；得知 ;
learned               |/ˈlɜːrnɪd/            |< other nominal > - 动词learn的过去式和过去分词 ;< adj. > - 有学问的；博学的 ;
learner               |/ˈlɜːrnər/            |< n. > - 学习者 ;
learning              |/ˈlɜːrnɪŋ/            |< other nominal > - 动词learn的现在分词 ;< n. > - 学问；学识；学习 ;
lease                 |/liːs/                |< vt. > - 出租；租得 ;< n. > - 租约；租契；租期 ;
least                 |/liːst/               |< adv. > - 最小地；最少地；最轻微地 ;< adj. > - 最小的；最少的 ;< n. > - 最小；最少 ;
leather               |/ˈleðər/              |< adj. > - 皮革制的 ;< vt. > - 用皮鞭抽打；用皮革覆盖 ;< n. > - 皮革；皮制品 ;
leave                 |/liːv/                |< n. > - 许可；准假；告别 ;< vi. > - 生出叶子 ;< v. > - 委托；离开；留给；遗留；遗赠；听任 ;
lecture               |/ˈlektʃər/            |< v. > - 训斥；讲课；教导 ;< n. > - 讲课；演讲；训话 ;
left                  |/left/                |< adv. > - 向左 ;< adj. > - 左边的 ;< other nominal > - 动词leave的过去式和过去分词形式 ;< n. > - 左边；左派分子；【体】左手拳 ;
leg                   |/leɡ/                 |< vi. > - 用脚走路 ;< n. > - 腿 ;
legal                 |/ˈliːɡl/              |< adj. > - 法定的；法律的；合法的 ;
legend                |/ˈledʒənd/            |< n. > - 传说；传奇；图例 ;
legendary             |/ˈledʒənderi/         |< adj. > - 传说的；传奇的；著名的 ;
leisure               |/ˈliːʒər/             |< n. > - 闲暇；休闲 ;
leisurely             |/ˈliːʒərli/           |< adv. > - 从容地；悠闲地 ;< adj. > - 悠闲的；从容的 ;
lemon                 |/ˈlemən/              |< n. > - 柠檬；柠檬色；<俚>次品；令人讨厌的人 ;
lend                  |/lend/                |< v. > - 借给；贷款；借(出) ;
length                |/leŋθ/                |< n. > - 长度；时间长短；距离；一段；距离的测量单位 ;
lens                  |/lenz/                |< v. > - 给…摄影；给…拍照 ;< n. > - 镜头；镜片；透镜；(眼球的)水晶体 ;
less                  |/les/                 |< adv. > - 更少地；较少地 ;< adj. > - 更少的；较少的 ;< prep. > - 减 ;< n. > - 少量；次要 ;
lessen                |/ˈlesn/               |< v. > - 减少；减轻 ;
lesson                |/ˈlesn/               |< vt. > - 教训，告诫，训斥；给  ;< n. > - 教训；课，功课，课业；榜样，典范 ;
lest                  |/lest/                |< conj. > - 惟恐；以免；担心 ;
let                   |/let/                 |< n. > - 出租；阻碍；(网球等)触网重发 ;< v. > - 让；允许；(用于祈使句表建议、请求、命令)让；假设；出租 ;
letter                |/ˈletər/              |< v. > - 写下；印刷 ;< n. > - 租赁人 ;
level                 |/ˈlevl/               |< adv. > - <废>水平地 ;< v. > - 弄平；夷平；对准 ;< adj. > - 平的；等高的 ;< n. > - 数量；等级；水平；水平线 ;
lever                 |/ˈlevər/              |< v. > - 撬开；使用杠杆 ;< n. > - 杠杆；控制杆；手段 ;
liable                |/ˈlaɪəbl/             |< adj. > - 有义务的；应负责的；有  ;
liar                  |/ˈlaɪər/              |< n. > - 说谎者；骗子 ;
liberal               |/ˈlɪbərəl/            |< adj. > - 慷慨的；大方的；开明的；自由主义的 ;< n. > - 自由主义者；开明的人 ;
liberate              |/ˈlɪbəreɪt/           |< v. > - 解放；使获得自由；释出；放出 ;
liberation            |/ˌlɪbəˈreɪʃn/         |< n. > - 解放；解放运动（为获得平等权利和地位的行为） ;
liberty               |/ˈlɪbərti/            |< n. > - 自由；自由权；冒失 ;
librarian             |/laɪˈbreriən/         |< n. > - 图书管理员；图书馆学专家；图书馆馆长 ;
library               |/ˈlaɪbreri/           |< n. > - 图书馆；藏书；书房 ;
license               |/ˈlaɪsns/             |< vt. > - 发许可证给；特许 ;< n. > - 许可证；执照；特许 ;
lick                  |/lɪk/                 |< n. > - 舔；少许；打；<口>速度 ;< v. > - 舔；轻拍；击败；掠过 ;
lid                   |/lɪd/                 |< vt. > - 给  ;< n. > - 盖子；眼睑 ;
lie                   |/laɪ/                 |< n. > - 谎言 ;< v. > - 躺下；位于；在于；平放；存在；延伸；说谎 ;
lieutenant            |/luːˈtenənt/          |< n. > - 中尉；助理人员；副官 ;
life                  |/laɪf/                |< n. > - 一生；生命；生活；人生 ;
life-boat             |/'laɪfb'əʊt/          |< n. > - 救生艇 ;
lifetime              |/ˈlaɪftaɪm/           |< n. > - 一生；终身；寿命；使用期限 ;
lift                  |/lɪft/                |< vt. > - 举起；运送；偷窃；升高；还清；取消 ;< vi. > - 提升 ;< n. > - 举起；提升；电梯；搭便车；帮助；载货量；扒窃 ;
light                 |/laɪt/                |< adv. > - 清楚地；轻便地 ;< v. > - 点燃；变亮；照亮 ;< adj. > - 轻的；浅色的；明亮的；轻松的；容易的；清淡的 ;< n. > - 光；光线；灯；打火机；领悟；浅色；天窗 ;
lighten               |/ˈlaɪtn/              |< v. > - 使轻松，变得轻松；发亮，变亮；照亮；减轻，变轻；闪电；使变淡 ;
lighthouse            |/ˈlaɪthaʊs/           |< n. > - 灯塔 ;
lightly               |/ˈlaɪtli/             |< adv. > - 轻轻地；轻快地；轻蔑地；轻率地；轻微地 ;
lightning             |/ˈlaɪtnɪŋ/            |< adj. > - 闪电般的；快速的 ;< n. > - 闪电；意外的幸运 ;
like                  |/laɪk/                |< conj. > - 如同 ;< prep. > - 像 ;< adj. > - 相似的；同样的 ;< adv. > - 大概；和  ;< v. > - 喜欢；想；愿意 ;
likely                |/ˈlaɪkli/             |< adv. > - 很可能 ;< adj. > - 可能的；可信的 ;
like-minded           |/laɪk ˈmaɪndɪd/       |< adj. > - 志趣相投的 ;
likewise              |/ˈlaɪkwaɪz/           |< adv. > - 同样地；此外；（表示感觉相同）我也是 ;
limb                  |/lɪm/                 |< vt. > - 肢解 ;< n. > - 肢体；枝干；树枝 ;
lime                  |/laɪm/                |< adj. > - 石灰的 ;< vt. > - 施石灰；涂上粘性物质；沾上粘鸟胶 ;< n. > - 酸橙；酸橙树 ;
limelight             |/ˈlaɪmlaɪt/           |< v. > - 使受到注目 ;< n. > - 众人注目的中心；聚光灯；以灰光灯照射的舞台 ;
lime-stone            |/'laɪmst'əʊn/         |< n. > - 石灰石 ;
limit                 |/ˈlɪmɪt/              |< vt. > - 限制；限定 ;< n. > - 限度；限制；界限 ;
limitation            |/ˌlɪmɪˈteɪʃn/         |< n. > - 限制；限度；缺点 ;
limited               |/ˈlɪmɪtɪd/            |< other nominal > - 动词limit的过去式和过去分词形式 ;< adj. > - 有限的；被限制的 ;
line                  |/laɪn/                |< v. > - 排队；画线；加衬里 ;< n. > - 线；界线；皱纹；路线；航线；行；台词；行业；绳子；家族 ;
linen                 |/ˈlɪnɪn/              |< adj. > - 亚麻布制的；亚麻的 ;< n. > - 亚麻布；亚麻线；亚麻制品 ;
liner                 |/ˈlaɪnər/             |< n. > - 衬里 ;
lines                 |/laɪnz/               |< other nominal > - 名词line的复数形式 ;< n. > - (剧本中的)台词；诗歌；线条；罚抄 ;
link                  |/lɪŋk/                |< n. > - 环；联系；节 ;< v. > - 联系；连接 ;
lion                  |/'laɪən/              |< n. > - 勇猛的人；狮子 ;
lip                   |/lɪp/                 |< v. > - 接吻；说话；拍打 ;< n. > - 嘴唇；唇状物 ;
liquid                |/ˈlɪkwɪd/             |< adj. > - 液体的；液态的；清澈的；清脆的；已转化成现款的（财） ;< n. > - 液体 ;
liquor                |/ˈlɪkər/              |< n. > - 酒；烈性酒；液剂 ;
list                  |/lɪst/                |< v. > - 列出；(使)倾斜；<古>使高兴；愿意；<古>听 ;< n. > - 目录；名单；明细表；条纹；倾斜；<古>意向 ;
listen                |/ˈlɪsn/               |< n. > - 听；倾听 ;< v. > - 听；倾听；听从；听信 ;
listener              |/ˈlɪsənər/            |< n. > - 听者；听众；[计算机]侦听 ;
liter                 |/'liːtər/             |< other nominal > - =litre(英) ;< n. > - 升；公升(容量单位) ;
literary              |/lɪtəreri/            |< adj. > - 文学的 ;
literature            |/ˈlɪtrətʃər/          |< n. > - 文学；文献；<口>印刷品 ;
litter                |/ˈlɪtər/              |< v. > - 乱丢垃圾；弄乱；产(幼仔)；用草等给动物铺窝 ;< n. > - 垃圾；杂乱；一窝(幼仔)；褥草；轿子 ;
little                |/ˈlɪtl/               |< adv. > - 甚少；毫不；难得 ;< adj. > - 小的；幼小的；短的；微不足道的；少到几乎没有的 ;< n. > - 极少 ;
live                  |/lɪv/                 |< adv. > - 现场 ;< adj. > - 活的；直播的；现场的；带电的；燃烧着的；当前的 ;< v. > - 活着；居住；过着 ;
lively                |/ˈlaɪvli/             |< adv. > - <废语>生机勃勃地 ;< adj. > - 活泼的； 活跃的； 栩栩如生的； 真实的 ;
liver                 |/ˈlɪvər/              |< n. > - 肝脏 ;
living                |/ˈlɪvɪŋ/              |< other nominal > - 动词live的现在分词 ;< adj. > - 活着的；生动的 ;< n. > - 生活；生计 ;
living-room           |/'lɪvɪŋ'ruːm/         |< n. > - 起居室 ;
load                  |/loʊd/                |< v. > - 装载；给(枪)装子弹；[计算机] 装入 ;< n. > - 负荷；重担；装载量 ;
loaf                  |/loʊf/                |< vi. > - 游手好闲；虚掷光阴 ;< n. > - （一条）面包；块 ;
loan                  |/loʊn/                |< v. > - 借；供应货款 ;< n. > - 贷款；借出 ;
lobster               |/ˈlɑːbstər/           |< v. > - 捕龙虾 ;< n. > - 龙虾 ;
local                 |/ˈloʊkl/              |< adj. > - 地方性的；当地的；局部的 ;< n. > - 当地人 ;
locate                |/ˈloʊkeɪt/            |< vt. > - 找出；把  ;< vi. > - 住下来 ;
location              |/loʊˈkeɪʃn/           |< n. > - 位置；外景拍摄地；定位；地点 ;
lock                  |/lɑːk/                |< v. > - 固定；锁(住)；抓牢；过闸 ;< n. > - 锁；水闸；一缕头发；一簇；一束 ;
locomotive            |/ˌloʊkəˈmoʊtɪv/       |< adj. > - 运动的；火车头的；旅行的 ;< n. > - 火车头；机车 ;
lodge                 |/lɑːdʒ/               |< v. > - 存放；临时住宿；安顿；提出(报告、抗议等) ;< n. > - 小屋；巢穴；门房；传达室；支部 ;
log                   |/lɔːɡ/                |< v. > - 伐木；记入(日志) ;< n. > - 原木；圆木；(航海、飞行)日志；(船)计程仪 ;
log book              |/lɔːɡ bʊk/            |< n. > -  <英>(机动车辆的)行车日志； (航海、航空的)日志 ;
logic                 |/ˈlɑːdʒɪk/            |< n. > - 逻辑；逻辑学；条理性；推理 ;
logical               |/ˈlɑːdʒɪkl/           |< adj. > - 符合逻辑的；逻辑上的；合理的 ;
loneliness            |/ˈləʊnlinəs/          |< n. > - 孤独；寂寞 ;
lonely                |/ˈloʊnli/             |< adj. > - 寂寞的，孤独的；荒凉的 ;
long                  |/lɔːŋ/                |< adv. > - 长期地；久地；用于名词后强调某事发生在某整段时间 ;< n. > - 长时间；长音节；囤积商品者 ;< adj. > - 长的；冗长的；久的；长音的 ;< v. > - 渴望 ;
look                  |/lʊk/                 |< n. > - 看；样子；脸色 ;< v. > - 看；寻找；显得看起来；注视；面向 ;
look-out              |/'lʊk'aʊt/            |< n. > - 嘹望台 ;
loop                  |/luːp/                |< vt. > - 以圈结；以环连结；使  ;< vi. > - 形成环；环形运动 ;< n. > - 环；圈；回路；环形线路 ;
loose                 |/luːs/                |< adv. > - 松散地 ;< v. > - 弄松；释放；放枪 ;< adj. > - 松的；宽松的；不确切的；不牢固的；放纵的 ;< n. > - 解放；放任；放纵 ;
loosen                |/ˈluːsn/              |< vt. > - 松开；放松；放宽 ;< vi. > - 变松；松弛 ;
lord                  |/lɔːrd/               |< v. > - 使…成君主；支配；作威作福 ;< n. > - 君王；勋爵；统治者；[大写]上帝；主 ;
lorry                 |/ˈlɔːri/              |< n. > - 卡车 ;
lose                  |/luːz/                |< vt. > - 丢失；失败；削减；丧生；看不到；亏损；迷失 ;< vi. > - 失败；经受损失；走慢 ;
loss                  |/lɔːs/                |< n. > - 遗失；丧失；损失；失败；失落；死亡 ;
lot                   |/lɑːt/                |< adv. > - 很；非常 ;< v. > - 划分；分配 ;< n. > - 许多；大量；抽签；签；命运；一块地；拍卖品；一类或一些(人或物)；批；套；份儿 ;
loud                  |/laʊd/                |< adv. > - 大声地；响亮地 ;< adj. > - 大声的；吵闹的；引人注目的 ;
loudly                |/laʊdli/              |< adv. > - 大声地；高声地；花俏地 ;
loudspeaker           |/ˌlaʊdˈspiːkər/       |< n. > - 扬声器；喇叭 ;
lovable               |/ˈlʌvəbl/             |< other nominal > - #NAME? ;< adj. > - 可爱的 ;
love                  |/lʌv/                 |< n. > - 爱；热爱；爱情；恋爱；喜爱；情人；(网球)零分 ;< v. > - 爱；热爱；喜欢 ;
lovely                |/ˈlʌvli/              |< adj. > - 可爱的；令人愉快的；好看的 ;
lover                 |/ˈlʌvər/              |< n. > - 情人；爱好者 ;
low                   |/loʊ/                 |< adv. > - 低地；低声地；低下地；廉价地 ;< v. > - 哞哞叫 ;< adj. > - 低的；少的；低落的；低声的；卑劣的；低等的 ;< n. > - 低水平；低价；低谷 ;
lower                 |/ˈloʊər/              |< adj. > - 低的；下级的；下层的 ;< v. > - 降低；减弱；跌落 ;
loyal                 |/ˈlɔɪəl/              |< adj. > - 忠诚的；忠心的 ;
loyalty               |/ˈlɔɪəlti/            |< n. > - 忠诚；忠心；忠贞 ;
lubricate             |/ˈluːbrɪkeɪt/         |< v. > - 润滑；加润滑剂 ;
luck                  |/lʌk/                 |< v. > - 侥幸成功；走运 ;< n. > - 运气；幸运；侥幸 ;
lucky                 |/ˈlʌki/               |< adj. > - 幸运的；带来好运的 ;
luggage               |/ˈlʌɡɪdʒ/             |< n. > - 行李 ;
lull                  |/lʌl/                 |< n. > - 暂停；间歇 ;< v. > - 使安静；使入睡；哄骗；平息 ;
lumber                |/ˈlʌmbər/             |< v. > - 伐木 ;< vt. > - 拖累 ;< vi. > - 缓慢地移动 ;< n. > - 木材；木料 ;
lump                  |/lʌmp/                |< v. > - 使成块；形成团状；归并；(笨重地)移动 ;< n. > - 块；团；笨重的人；瘤 ;
lunch                 |/lʌntʃ/               |< v. > - 吃(午餐)；提供(午餐) ;< n. > - 午餐 ;
lung                  |/lʌŋ/                 |< n. > - 肺；呼吸器官 ;
lure                  |/lʊr/                 |< vt. > - 诱惑；吸引 ;< n. > - 诱惑；吸引力；饵 ;
lurk                  |/lɜːrk/               |< n. > - 潜伏；隐藏 ;< v. > - 潜藏；潜伏；埋伏 ;
luscious              |/ˈlʌʃəs/              |< adj. > - 甘美的；浓厚的；官能的；性感的 ;
luxury                |/ˈlʌkʃəri/            |< n. > - 奢侈品；奢侈；豪华 ;
M                     |/em/                  |< n. > - 字母M ;
macaroni              |/ˌmækəˈroʊni/         |< n. > - 通心粉 ;
machine               |/məˈʃiːn/             |< v. > - 以机器制造 ;< n. > - 机器；做事效率高的人；工具；车辆 ;
machinery             |/məˈʃiːnəri/          |< n. > - 机械；(总称)机器 ;
mad                   |/mæd/                 |< adj. > - 发疯的，发狂似的；狂热的；鲁莽的；着迷的；生气的；极度激动的 ;
madam                 |/ˈmædəm/              |< n. > - 夫人；女士；太太 ;
magazine              |/ˈmæɡəziːn/           |< n. > - 杂志；弹盘；弹药库 ;
magic                 |/ˈmædʒɪk/             |< adj. > - 有魔力的；魔术的；奇妙的 ;< n. > - 魔法；魔术；魔力 ;
magnet                |/ˈmæɡnət/             |< n. > - 磁铁；有吸引力的人（物） ;
magnetic              |/mæɡˈnetɪk/           |< adj. > - 有磁性的；有吸引力的；催眠术的 ;< n. > - 磁体，磁性物质 ;
magnetize             |/ˈmæɡnətaɪz/          |< vt. > - 使磁化；吸引；诱惑 ;
magnificent           |/mæɡˈnɪfɪsnt/         |< adj. > - 壮丽的；宏伟的；极好的 ;
magpie                |/ˈmæɡpaɪ/             |< n. > - 喜鹊；（美口）爱饶舌的人；（英口）爱收集或储藏东西的人 ;
maid                  |/meɪd/                |< n. > - 【古】未婚女子 ;
mail                  |/meɪl/                |< vt. > - 邮寄 ;< n. > - 邮件；邮政 ;
main                  |/meɪn/                |< adj. > - 主要的；最重要的 ;< n. > - 干线；总管道；[pl](水、煤、电)供应系统；<古>大海 ;
mainland              |/ˈmeɪnlænd/           |< n. > - 大陆；本土 ;
mainly                |/ˈmeɪnli/             |< adv. > - 主要地；大部分地 ;
maintain              |/meɪnˈteɪn/           |< vt. > - 维持；维修；保养；坚持；断言 ;
maintenance           |/ˈmeɪntənəns/         |< n. > - 维修；维护；保持；生活费用；抚养费 ;
major                 |/ˈmeɪdʒər/            |< v. > - 主修 ;< adj. > - 较多的；主要的；严重的；(音乐)大调的 ;< n. > - 成年人；主修（科目）；陆军少校；举足轻重者 ;
majority              |/məˈdʒɔːrəti/         |< n. > - 大多数；多数；多数党；多数派 ;
make                  |/meɪk/                |< n. > - 性格；式样；制造；生产量 ;< v. > - 做；制造；使得；赚（钱）；成功；达成 ;
male                  |/meɪl/                |< adj. > - 男性的；雄性的 ;< n. > - 男子；雄性动物 ;
mammoth               |/ˈmæməθ/              |< adj. > - 巨大的；庞大的 ;< n. > - 长毛象；猛犸 ;
man                   |/mæn/                 |< v. > - 使 ;< n. > - 男人；人；男子汉；情人；强者；下属 ;
manage                |/ˈmænɪdʒ/             |< v. > - 管理；经营；做成；设法对付；提供；有空 ;
management            |/ˈmænɪdʒmənt/         |< n. > - 管理；管理部门；手腕 ;
manager               |/ˈmænɪdʒər/           |< n. > - 经理；管理者；管家 ;
mania                 |/ˈmeɪniə/             |< suf. > -   ;< n. > -  狂热； 癖好； [医]躁狂 ;
mankind               |/mænˈkaɪnd/           |< n. > - 人类；男人 ;
manly                 |/ˈmænli/              |< adv. > - 男子般地 ;< adj. > - 像男人的；强壮的；适于男人的 ;
man-made              |/mæn meɪd/            |< adj. > - 人造的；人为的 ;
manned                |/mænd/                |< other nominal > - 动词man的过去式和过去分词 ;< adj. > - 由人操作的；载人的 ;
manner                |/ˈmænər/              |< n. > - 举止；礼貌；方式；习俗 ;
mantis                |/ˈmæntɪs/             |< n. > - 螳螂 ;
manual                |/ˈmænjuəl/            |< adj. > - 手工的；体力的 ;< n. > - 指南；手册；键盘 ;
manufacture           |/ˌmænjuˈfæktʃər/      |< n. > - 制造；制造业；（复）产品 ;< v. > - （手工）制造；捏造 ;
manufacturer          |/ˌmænjuˈfæktʃərər/    |< n. > - 制造商 ;
many                  |/ˈmeni/               |< pron. > - 许多人或物 ;< adj. > - 许多的 ;< n. > - 许多；许多人 ;
map                   |/mæp/                 |< vt. > - 绘制地图；计划 ;< n. > - 地图 ;
marble                |/ˈmɑːrbl/             |< vt. > - 使有大理石的花纹 ;< n. > - 大理石；弹子，弹珠 ;
march                 |/mɑːrtʃ/              |< other nominal > - March ;< v. > - 行进；前进；进发；使同行；游行示威 ;< n. > - 三月 ;
margin                |/ˈmɑːrdʒən/           |< vt. > - 加边于；为…付保证金 ;< n. > - 边缘；余地；幅度；利润；差额；页边空白；定金；【商】原价和卖价之差 ;
marine                |/məˈriːn/             |< adj. > - 海的；海事的；海生的；航海的 ;< n. > - 海运业；船舶；水兵 ;
mark                  |/mɑːrk/               |< v. > - 弄污；打分；留意；做标记 ;< n. > - 记号；痕迹；分数；商标 ;
market                |/ˈmɑːrkɪt/            |< v. > - 销售；推销；买卖 ;< n. > - 市场；集市 ;
marking               |/ˈmɑːrkɪŋ/            |< other nominal > - 动词mark的现在分词 ;< n. > - 斑纹；标志；打分；（足球赛等的）盯人 ;
marquis               |/ˈmɑːrkwɪs/           |< other nominal > - #NAME? ;< n. > - 侯爵 ;
marriage              |/ˈmærɪdʒ/             |< n. > - 结婚；婚姻；紧密结合 ;
married               |/ˈmærid/              |< adj. > - 已婚的；婚姻的；密切结合的 ;< n. > - 已婚者 ;
marry                 |/ˈmæri/               |< v. > - 娶；结婚；嫁；结合 ;
Mars                  |/mɑːrz/               |< n. > - 火星；[罗神]战神 ;
marvelous             |/'mɑːvələs/           |< other nominal > - =<英>marvellous ;< adj. > - 令人惊异的；非凡的 ;
Marxist               |/ˈmɑːksɪst/           |< adj. > - 马克思主义的 ;< n. > - 马克思主义者 ;
mask                  |/mæsk/                |< v. > - 掩饰；戴面具；遮盖 ;< n. > - 伪装；面罩；面具；[计算机]掩码 ;
mass                  |/mæs/                 |< other nominal > - Mass ;< v. > - 集中 ;< adj. > - 大规模的；群众的 ;< n. > - 弥撒曲；弥撒 ;
master                |/ˈmæstər/             |< adj. > - 主要的；主人的；精通的 ;< vt. > - 控制；精通 ;< n. > - 主人；硕士；专家 ;
masterpiece           |/ˈmæstərpiːs/         |< n. > - 杰作 ;
mat                   |/mæt/                 |< v. > - 编织；集结；铺席于  ;< n. > - 垫子；席子 ;
matador               |/ˈmætədɔːr/           |< n. > - 斗牛士 ;
match                 |/mætʃ/                |< v. > - 相配；和 ;< n. > - 对手；火柴；比赛；配偶；般配的人 ;
mate                  |/meɪt/                |< vt. > - 使  ;< vi. > - 交配 ;< n. > - 配偶；伙伴；同事 ;
material              |/məˈtɪriəl/           |< adj. > - 物质的；重要的；关键的；肉体上的；实质性的 ;< n. > - 材料；原料；素材；资料；题材；物质 ;
materialism           |/məˈtɪriəlɪzəm/       |< n. > - 唯物主义；唯物论；实利主义 ;
mathematical          |/ˌmæθəˈmætɪkl/        |< adj. > - 数学的；精确的；可能性极小的 ;
mathematics           |/ˌmæθəˈmætɪks/        |< n. > - 数学 ;
maths                 |/mæθs/                |< other nominal > - =mathematics（英） ;< n. > - 数学 ;
matter                |/ˈmætər/              |< v. > - 有关系；要紧 ;< n. > - 事情；事态；问题；关于 ;
mattress              |/ˈmætrəs/             |< n. > - 床垫 ;
mature                |/məˈtʃʊr/             |< adj. > - 成熟的；(保单）到期的；考虑周到的 ;< v. > - 成熟；长成 ;
maximum               |/ˈmæksɪməm/           |< adj. > - 最高的；最大极限的 ;< n. > - 最大量；最大限度；最高点 ;
may                   |/meɪ/                 |< aux. > - 可以，能够；可能，也许；祝，愿；会，能 ;< n. > - [大写] 五月 ;
maybe                 |/ˈmeɪbi/              |< adv. > - 或许；也许；可能 ;
mayor                 |/ˈmeɪər/              |< n. > - 市长 ;
me                    |/mi:/                 |< pron. > - 我(宾格) ;
meadow                |/ˈmedoʊ/              |< n. > - 草地；牧场 ;
meal                  |/miːl/                |< n. > - 粗碾的谷物 ;
mean                  |/miːn/                |< n. > - 平均值；平均数；中间；中庸 ;< adj. > - 低劣的；刻薄的；卑鄙的；出色的；吝啬的；平均的；中等的 ;< v. > - 意思是；打算；导致；意味 ;
meaning               |/ˈmiːnɪŋ/             |< adj. > - 意味深长的 ;< n. > - 意义；含义；重要性；价值 ;
means                 |/miːnz/               |< v. > - 意思是，意味（动词mean的第三人称单数） ;< n. > - 方法；手段；收入；财产 ;
meantime              |/ˈmiːntaɪm/           |< adv. > - 与此同时 ;< n. > - 同时；其间 ;
meanwhile             |/ˈmiːnwaɪl/           |< adv. > - 其间；同时 ;
measurable            |/ˈmeʒərəbl/           |< adj. > - 可测量的；重要的；可预见的；可察觉的 ;
measure               |/ˈmeʒər/              |< v. > - 测量；比较；给予；权衡 ;< n. > - 措施；量度；尺寸；程度；办法 ;
measurement           |/ˈmeʒərmənt/          |< n. > - 测量，测量法；尺寸，尺码；大小；衡量；<口>三围 ;
meat                  |/miːt/                |< n. > - 肉；主要或重要部分 ;
mechanic              |/məˈkænɪk/            |< adj. > - 手工的；（使用）机械的 ;< n. > - 技工；机修工 ;
mechanical            |/məˈkænɪkl/           |< adj. > - 机械的；力学的；呆板的 ;
mechanically          |/məˈkænɪkli/          |< adv. > - 机械地；呆板地；无意识地 ;
mechanics             |/mə'kænɪks/           |< n. > - 力学；机械学；(技术的；操作的)过程；手法 ;
medal                 |/ˈmedl/               |< vi. > - 获得奖章 ;< n. > - 奖章；勋章；纪念章 ;
medical               |/ˈmedɪkl/             |< adj. > - 医疗的；医学的；医药的；内科的 ;
medicine              |/ˈmedsn/              |< n. > - 药；医学 ;
Mediterranean         |/ˌmedɪtəˈreɪniən/     |< adj. > - 地中海的 ;< n. > - 地中海 ;
medium                |/ˈmiːdiəm/            |< adj. > - 中等的；适中的 ;< n. > - 手段；媒介；媒体 ;
medusa                |/mə'djuːsə/           |< other nominal > - Medusa ;< n. > - 美杜莎(古希腊神话中3位蛇发女怪之一) ;
meet                  |/miːt/                |< n. > - 运动会；集会 ;< adj. > - 合适的 ;< v. > - 遇见；满足 ;
meeting               |/ˈmiːtɪŋ/             |< other nominal > - 动词meet的现在分词 ;< n. > - 会议；集会；汇合 ;
melon                 |/ˈmelən/              |< n. > - 甜瓜 ;
melt                  |/melt/                |< vt. > - 使融化；使熔化；使消散 ;< vi. > - 融化；熔化；消散 ;< n. > - 熔化物；融化；熔解 ;
member                |/ˈmembər/             |< n. > - 成员；会员；部分 ;
memorial              |/məˈmɔːriəl/          |< adj. > - 纪念的；追悼的 ;< n. > - 纪念碑；纪念物；纪念仪式 ;
memory                |/ˈmeməri/             |< n. > - 记忆力；回忆；记忆；[计]存储 ;
mend                  |/mend/                |< vt. > - 修理；修补；改进 ;< vi. > - 改过自新；改进；痊愈 ;< n. > - 修补；改进；修补处 ;
mental                |/ˈmentl/              |< adj. > - 思想的；心理的；精神的；脑力的 ;< n. > - 精神病患者 ;
mentally              |/ˈmentəli/            |< adv. > - 精神上；智力上；心理上 ;
mention               |/ˈmenʃn/              |< vt. > - 提到；说起 ;< n. > - 提及；说起 ;
menu                  |/ˈmenjuː/             |< n. > - 菜单 ;
merchant              |/ˈmɜːrtʃənt/          |< adj. > - 商业的；商船的 ;< n. > - （班轮提单）货方；签约方 ;
Mercury               |/ˈmɜːrkjəri/          |< n. > - 水银；水星；精神 ;
mercy                 |/ˈmɜːrsi/             |< n. > - 仁慈；怜悯；恩惠；宽恕 ;
mere                  |/mɪr/                 |< adj. > - 仅仅的；纯粹的 ;
merely                |/ˈmɪrli/              |< adv. > - 仅仅；只不过 ;
merit                 |/ˈmerɪt/              |< v. > - 值得；应得 ;< n. > - 优点；功绩；价值 ;
merry                 |/ˈmeri/               |< adj. > - 愉快的；欢乐的；<口>微醉的 ;
